# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 9119907 55564 0.006093
2 9119907 47036 0.005158
3 9119907 39989 0.004385
4 9119907 37009 0.004058
5 9119907 35941 0.003941
6 9119907 32874 0.003605
7 9119907 33332 0.003655
8 9119907 33236 0.003644
9 9119907 53230 0.005837
10 9119907 29745 0.003262
11 9119907 29144 0.003196
12 9119907 29079 0.003189
13 9119907 28759 0.003153
14 9119907 29396 0.003223
15 9119907 34647 0.003799
16 9119907 27665 0.003033
17 9119907 27308 0.002994
18 9119907 27222 0.002985
19 9119907 26617 0.002919
20 9119907 26990 0.002959
21 9119907 26332 0.002887
22 9119907 38935 0.004269
23 9119907 25911 0.002841
24 9119907 45109 0.004946
25 9119907 29266 0.003209
26 9119907 25891 0.002839
27 9119907 25964 0.002847
28 9119907 35234 0.003863
29 9119907 27942 0.003064
30 9119907 26271 0.002881
31 9119907 25532 0.002800
32 9119907 28579 0.003134
33 9119907 25496 0.002796
34 9119907 25522 0.002798
35 9119907 25486 0.002795
36 9119907 25654 0.002813
37 9119907 25580 0.002805
38 9119907 25719 0.002820
39 9119907 26161 0.002869
40 9119907 27518 0.003017
41 9119907 25484 0.002794
42 9119907 25831 0.002832
43 9119907 25441 0.002790
44 9119907 32661 0.003581
45 9119907 33699 0.003695
46 9119907 34027 0.003731
47 9119907 26390 0.002894
48 9119907 27974 0.003067
49 9119907 26319 0.002886
50 9119907 26165 0.002869
51 9119907 26263 0.002880
52 9119907 26047 0.002856
53 9119907 28063 0.003077
54 9119907 25871 0.002837
55 9119907 29086 0.003189
56 9119907 25894 0.002839
57 9119907 28324 0.003106
58 9119907 26373 0.002892
59 9119907 28210 0.003093
60 9119907 28988 0.003179
61 9119907 25617 0.002809
62 9119907 28674 0.003144
63 9119907 26630 0.002920
64 9119907 26068 0.002858
65 9119907 28542 0.003130
66 9119907 29508 0.003236
67 9119907 28220 0.003094
68 9119907 27916 0.003061
69 9119907 27456 0.003011
70 9119907 27914 0.003061
71 9119907 28574 0.003133
72 9119907 29498 0.003234
73 9119907 29828 0.003271
74 9119907 32061 0.003515
75 9119907 28036 0.003074
76 9119907 27646 0.003031
77 9119907 29889 0.003277
78 9119907 27834 0.003052
79 9119907 29680 0.003254
80 9119907 27942 0.003064
81 9119907 29534 0.003238
82 9119907 28455 0.003120
83 9119907 28661 0.003143
84 9119907 27749 0.003043
85 9119907 27564 0.003022
86 9119907 31488 0.003453
87 9119907 31515 0.003456
88 9119907 28006 0.003071
89 9119907 31799 0.003487
90 9119907 28461 0.003121
91 9119907 27959 0.003066
92 9119907 30780 0.003375
93 9119907 27865 0.003055
94 9119907 27986 0.003069
95 9119907 28516 0.003127
96 9119907 33754 0.003701
97 9119907 33084 0.003628
98 9119907 33171 0.003637
99 9119907 28979 0.003178
100 9119907 29579 0.003243
101 9101534 29553 0.003247
102 9080572 28793 0.003171
103 9058026 29002 0.003202
104 9032819 28990 0.003209
105 9005195 28382 0.003152
106 8975324 28297 0.003153
107 8941839 28635 0.003202
108 8906398 28176 0.003164
109 8868331 28436 0.003206
110 8827934 29581 0.003351
111 8783102 30190 0.003437
112 8735372 31821 0.003643
113 8685617 33507 0.003858
114 8633580 29598 0.003428
115 8580410 32862 0.003830
116 8521768 28284 0.003319
117 8456894 28954 0.003424
118 8392349 30793 0.003669
119 8328110 29852 0.003584
120 8261189 33111 0.004008
121 8187372 28669 0.003502
122 8111286 29726 0.003665
123 8029746 28071 0.003496
124 7951494 28479 0.003582
125 7868064 29117 0.003701
126 7777579 28145 0.003619
127 7688967 32456 0.004221
128 7600680 28800 0.003789
129 7511808 27525 0.003664
130 7422320 28795 0.003880
131 7320949 26495 0.003619
132 7216448 26592 0.003685
133 7111556 26489 0.003725
134 7000107 26990 0.003856
135 6889015 26780 0.003887
136 6777082 31191 0.004602
137 6665478 25124 0.003769
138 6544256 25185 0.003848
139 6423576 23886 0.003718
140 6298335 27326 0.004339
141 6173415 24282 0.003933
142 6042827 25062 0.004147
143 5914765 24759 0.004186
144 5788344 22913 0.003958
145 5672206 23182 0.004087
146 5537936 24853 0.004488
147 5406584 25550 0.004726
148 5281601 23063 0.004367
149 5141496 21154 0.004114
150 4999727 29997 0.006000
