# Distribution of insert lengths
# Length Number Fraction
100 13794 0.0015
101 16180 0.0017
102 17544 0.0019
103 20072 0.0021
104 22676 0.0024
105 24602 0.0026
106 28039 0.0030
107 30249 0.0032
108 33431 0.0036
109 35513 0.0038
110 40451 0.0043
111 42781 0.0046
112 45452 0.0048
113 48163 0.0051
114 50682 0.0054
115 55879 0.0059
116 62683 0.0067
117 63659 0.0068
118 63688 0.0068
119 66120 0.0070
120 75198 0.0080
121 77567 0.0083
122 84030 0.0089
123 82585 0.0088
124 88158 0.0094
125 94505 0.0101
126 94077 0.0100
127 94168 0.0100
128 95474 0.0102
129 95432 0.0102
130 108197 0.0115
131 114632 0.0122
132 115680 0.0123
133 120488 0.0128
134 121653 0.0129
135 122655 0.0130
136 122711 0.0131
137 132654 0.0141
138 132799 0.0141
139 139874 0.0149
140 137906 0.0147
141 144610 0.0154
142 141070 0.0150
143 139013 0.0148
144 126214 0.0134
145 144239 0.0153
146 143785 0.0153
147 138732 0.0148
148 153014 0.0163
149 155305 0.0165
150 146413 0.0156
151 143872 0.0153
152 145717 0.0155
153 141734 0.0151
154 142359 0.0151
155 130231 0.0139
156 160203 0.0170
157 146319 0.0156
158 131296 0.0140
159 129291 0.0138
160 130216 0.0138
161 131933 0.0140
162 119625 0.0127
163 140465 0.0149
164 138816 0.0148
165 131492 0.0140
166 133087 0.0142
167 131351 0.0140
168 127935 0.0136
169 125767 0.0134
170 124456 0.0132
171 121213 0.0129
172 117242 0.0125
173 120984 0.0129
174 113064 0.0120
175 101287 0.0108
176 105979 0.0113
177 98568 0.0105
178 89898 0.0096
179 105353 0.0112
180 100953 0.0107
181 88044 0.0094
182 85354 0.0091
183 88122 0.0094
184 83748 0.0089
185 78532 0.0084
186 78708 0.0084
187 69303 0.0074
188 63105 0.0067
189 66552 0.0071
190 58194 0.0062
191 59442 0.0063
192 54867 0.0058
193 44851 0.0048
194 43897 0.0047
195 39826 0.0042
196 36510 0.0039
197 33504 0.0036
198 32443 0.0035
199 28548 0.0030
200 23260 0.0025
