# Distribution of insert lengths
# Length Number Fraction
100 7649 0.0011
101 9036 0.0012
102 9914 0.0014
103 11334 0.0016
104 12645 0.0017
105 13878 0.0019
106 16087 0.0022
107 17351 0.0024
108 19268 0.0027
109 20701 0.0029
110 23974 0.0033
111 25223 0.0035
112 27321 0.0038
113 29691 0.0041
114 31107 0.0043
115 34619 0.0048
116 38638 0.0053
117 39704 0.0055
118 40456 0.0056
119 41943 0.0058
120 47782 0.0066
121 49301 0.0068
122 54207 0.0075
123 53040 0.0073
124 56853 0.0078
125 62596 0.0086
126 61579 0.0085
127 62426 0.0086
128 63303 0.0087
129 63631 0.0088
130 72697 0.0100
131 76732 0.0106
132 78624 0.0108
133 82050 0.0113
134 84084 0.0116
135 84597 0.0117
136 84704 0.0117
137 93094 0.0128
138 93151 0.0129
139 98623 0.0136
140 98964 0.0137
141 104574 0.0144
142 101523 0.0140
143 101168 0.0140
144 93023 0.0128
145 106480 0.0147
146 106277 0.0147
147 103410 0.0143
148 116680 0.0161
149 117262 0.0162
150 112249 0.0155
151 109668 0.0151
152 111037 0.0153
153 110839 0.0153
154 110731 0.0153
155 100944 0.0139
156 128621 0.0177
157 116090 0.0160
158 104276 0.0144
159 104044 0.0144
160 105823 0.0146
161 107514 0.0148
162 98365 0.0136
163 115909 0.0160
164 115485 0.0159
165 109120 0.0151
166 110869 0.0153
167 109840 0.0152
168 107928 0.0149
169 106195 0.0147
170 105684 0.0146
171 104154 0.0144
172 101490 0.0140
173 104991 0.0145
174 98675 0.0136
175 86988 0.0120
176 92656 0.0128
177 86264 0.0119
178 78493 0.0108
179 93104 0.0128
180 90113 0.0124
181 79708 0.0110
182 76961 0.0106
183 79397 0.0110
184 75185 0.0104
185 71785 0.0099
186 71551 0.0099
187 63172 0.0087
188 58333 0.0080
189 62161 0.0086
190 53293 0.0074
191 55927 0.0077
192 51304 0.0071
193 41454 0.0057
194 41536 0.0057
195 37202 0.0051
196 34761 0.0048
197 31959 0.0044
198 31149 0.0043
199 26976 0.0037
200 22707 0.0031
