# Distribution of insert lengths
# Length Number Fraction
100 18362 0.0022
101 21108 0.0026
102 22302 0.0027
103 25131 0.0031
104 28036 0.0034
105 30231 0.0037
106 33873 0.0041
107 36592 0.0045
108 39266 0.0048
109 41562 0.0051
110 45786 0.0056
111 48911 0.0060
112 50529 0.0062
113 53599 0.0065
114 54500 0.0066
115 59990 0.0073
116 65800 0.0080
117 66400 0.0081
118 66721 0.0081
119 68531 0.0083
120 75615 0.0092
121 77701 0.0095
122 82574 0.0101
123 80307 0.0098
124 82991 0.0101
125 89604 0.0109
126 88364 0.0108
127 85934 0.0105
128 86519 0.0105
129 86811 0.0106
130 97056 0.0118
131 101256 0.0123
132 101607 0.0124
133 105363 0.0128
134 106338 0.0129
135 105074 0.0128
136 104578 0.0127
137 111696 0.0136
138 111660 0.0136
139 115683 0.0141
140 114436 0.0139
141 119466 0.0145
142 117113 0.0143
143 114804 0.0140
144 104348 0.0127
145 117423 0.0143
146 117496 0.0143
147 112099 0.0136
148 122060 0.0149
149 125291 0.0153
150 118440 0.0144
151 116435 0.0142
152 116067 0.0141
153 113493 0.0138
154 115182 0.0140
155 104809 0.0128
156 129105 0.0157
157 119294 0.0145
158 106050 0.0129
159 105614 0.0129
160 106970 0.0130
161 107338 0.0131
162 96906 0.0118
163 115687 0.0141
164 114089 0.0139
165 108501 0.0132
166 108739 0.0132
167 109500 0.0133
168 106584 0.0130
169 104488 0.0127
170 104186 0.0127
171 101235 0.0123
172 99119 0.0121
173 102516 0.0125
174 95937 0.0117
175 85455 0.0104
176 90128 0.0110
177 84600 0.0103
178 77335 0.0094
179 90933 0.0111
180 86851 0.0106
181 77227 0.0094
182 74591 0.0091
183 77408 0.0094
184 73175 0.0089
185 69523 0.0085
186 69227 0.0084
187 60319 0.0073
188 56840 0.0069
189 59276 0.0072
190 52059 0.0063
191 54310 0.0066
192 50132 0.0061
193 40405 0.0049
194 39834 0.0049
195 35988 0.0044
196 33517 0.0041
197 30630 0.0037
198 29862 0.0036
199 26368 0.0032
200 21638 0.0026
