# Distribution of insert lengths
# Length Number Fraction
100 20007 0.0017
101 23691 0.0021
102 25444 0.0022
103 29257 0.0025
104 33040 0.0029
105 35938 0.0031
106 41676 0.0036
107 44370 0.0039
108 48484 0.0042
109 51762 0.0045
110 58480 0.0051
111 62536 0.0054
112 65457 0.0057
113 70133 0.0061
114 71676 0.0062
115 79987 0.0069
116 87345 0.0076
117 89473 0.0078
118 90030 0.0078
119 92867 0.0081
120 103874 0.0090
121 106784 0.0093
122 113497 0.0099
123 111009 0.0096
124 117541 0.0102
125 126594 0.0110
126 123914 0.0108
127 121874 0.0106
128 123404 0.0107
129 122770 0.0107
130 139131 0.0121
131 144764 0.0126
132 144322 0.0125
133 152114 0.0132
134 152581 0.0132
135 150757 0.0131
136 150847 0.0131
137 161818 0.0140
138 162454 0.0141
139 166095 0.0144
140 165448 0.0144
141 172904 0.0150
142 169995 0.0148
143 166031 0.0144
144 150196 0.0130
145 169653 0.0147
146 170230 0.0148
147 161191 0.0140
148 176042 0.0153
149 182370 0.0158
150 172210 0.0149
151 169609 0.0147
152 166665 0.0145
153 163632 0.0142
154 167727 0.0146
155 151578 0.0132
156 186578 0.0162
157 170930 0.0148
158 151775 0.0132
159 151506 0.0132
160 153902 0.0134
161 154228 0.0134
162 140702 0.0122
163 163698 0.0142
164 163694 0.0142
165 154678 0.0134
166 154395 0.0134
167 154274 0.0134
168 151305 0.0131
169 148404 0.0129
170 148681 0.0129
171 144868 0.0126
172 139504 0.0121
173 145243 0.0126
174 135548 0.0118
175 118986 0.0103
176 127054 0.0110
177 117475 0.0102
178 107852 0.0094
179 125928 0.0109
180 119701 0.0104
181 106567 0.0092
182 102215 0.0089
183 105134 0.0091
184 100280 0.0087
185 93926 0.0082
186 93365 0.0081
187 81841 0.0071
188 76003 0.0066
189 80763 0.0070
190 69888 0.0061
191 72181 0.0063
192 66564 0.0058
193 54043 0.0047
194 53530 0.0046
195 49033 0.0043
196 45280 0.0039
197 41484 0.0036
198 39912 0.0035
199 35870 0.0031
200 29138 0.0025
