# nread -> total number of read pairs read from the FASTQ files.
nread 15560875
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 0
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1981994
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 14780
# nattempted -> number of read pairs we attempted to align
nattempted 13578881
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 12619220
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 12417771
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 12417771
