# Distribution of insert lengths
# Length Number Fraction
100 13364 0.0011
101 15700 0.0013
102 17601 0.0015
103 20205 0.0017
104 22489 0.0019
105 25074 0.0021
106 29155 0.0025
107 32203 0.0028
108 35397 0.0030
109 38604 0.0033
110 43894 0.0037
111 48083 0.0041
112 50625 0.0043
113 54977 0.0047
114 57898 0.0049
115 64967 0.0055
116 72620 0.0062
117 74848 0.0064
118 77253 0.0066
119 80625 0.0069
120 90344 0.0077
121 95072 0.0081
122 102822 0.0088
123 101095 0.0086
124 108680 0.0093
125 117669 0.0101
126 116635 0.0100
127 116938 0.0100
128 120342 0.0103
129 120300 0.0103
130 136436 0.0117
131 142838 0.0122
132 145683 0.0124
133 152564 0.0130
134 154541 0.0132
135 154912 0.0132
136 155509 0.0133
137 166376 0.0142
138 167407 0.0143
139 174952 0.0149
140 173845 0.0148
141 183175 0.0156
142 178295 0.0152
143 176177 0.0150
144 163299 0.0139
145 183084 0.0156
146 181894 0.0155
147 175660 0.0150
148 193564 0.0165
149 195569 0.0167
150 186946 0.0160
151 182641 0.0156
152 183022 0.0156
153 179716 0.0154
154 181034 0.0155
155 166524 0.0142
156 200715 0.0171
157 185531 0.0158
158 166829 0.0143
159 166850 0.0143
160 168724 0.0144
161 168414 0.0144
162 154333 0.0132
163 179290 0.0153
164 176996 0.0151
165 166531 0.0142
166 168499 0.0144
167 167410 0.0143
168 163496 0.0140
169 160735 0.0137
170 159387 0.0136
171 153996 0.0132
172 149651 0.0128
173 153177 0.0131
174 142358 0.0122
175 127224 0.0109
176 132836 0.0113
177 123377 0.0105
178 113313 0.0097
179 130458 0.0111
180 124519 0.0106
181 109863 0.0094
182 105725 0.0090
183 107974 0.0092
184 101919 0.0087
185 95238 0.0081
186 94976 0.0081
187 83153 0.0071
188 76772 0.0066
189 80606 0.0069
190 69662 0.0060
191 70695 0.0060
192 65282 0.0056
193 54312 0.0046
194 52850 0.0045
195 46985 0.0040
196 44217 0.0038
197 40238 0.0034
198 38388 0.0033
199 34202 0.0029
200 28029 0.0024
