# nread -> total number of read pairs read from the FASTQ files.
nread 15811777
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 0
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2061127
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 14785
# nattempted -> number of read pairs we attempted to align
nattempted 13750650
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 12813446
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 12602533
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 12602533
