# Distribution of insert lengths
# Length Number Fraction
100 11497 0.0009
101 13636 0.0011
102 15171 0.0012
103 17912 0.0014
104 20106 0.0016
105 22850 0.0018
106 26334 0.0021
107 29339 0.0023
108 32997 0.0026
109 36692 0.0029
110 42053 0.0033
111 45903 0.0036
112 49794 0.0039
113 54367 0.0042
114 58377 0.0046
115 65988 0.0051
116 74454 0.0058
117 77299 0.0060
118 79796 0.0062
119 84535 0.0066
120 95892 0.0075
121 100411 0.0078
122 111261 0.0087
123 109829 0.0086
124 118247 0.0092
125 127824 0.0100
126 129727 0.0101
127 130144 0.0102
128 134478 0.0105
129 134966 0.0105
130 153234 0.0120
131 160714 0.0125
132 165173 0.0129
133 172857 0.0135
134 176321 0.0138
135 175893 0.0137
136 179038 0.0140
137 190872 0.0149
138 192089 0.0150
139 202294 0.0158
140 200119 0.0156
141 211767 0.0165
142 204457 0.0160
143 202605 0.0158
144 185963 0.0145
145 209736 0.0164
146 207733 0.0162
147 203157 0.0159
148 224880 0.0176
149 223118 0.0174
150 213419 0.0167
151 207992 0.0162
152 207704 0.0162
153 206187 0.0161
154 204532 0.0160
155 188457 0.0147
156 226182 0.0177
157 207007 0.0162
158 187076 0.0146
159 186307 0.0145
160 187473 0.0146
161 186129 0.0145
162 171430 0.0134
163 194926 0.0152
164 193954 0.0151
165 183558 0.0143
166 184669 0.0144
167 181881 0.0142
168 175315 0.0137
169 171844 0.0134
170 171197 0.0134
171 165504 0.0129
172 159588 0.0125
173 163193 0.0127
174 152752 0.0119
175 135136 0.0105
176 141515 0.0110
177 131149 0.0102
178 119599 0.0093
179 137031 0.0107
180 129716 0.0101
181 115177 0.0090
182 109431 0.0085
183 113233 0.0088
184 106075 0.0083
185 99181 0.0077
186 98298 0.0077
187 86848 0.0068
188 79412 0.0062
189 82870 0.0065
190 71620 0.0056
191 73405 0.0057
192 66912 0.0052
193 55550 0.0043
194 53565 0.0042
195 48098 0.0038
196 44882 0.0035
197 40915 0.0032
198 38750 0.0030
199 34132 0.0027
200 28771 0.0022
