# Distribution of insert lengths
# Length Number Fraction
100 12733 0.0011
101 14976 0.0013
102 16546 0.0014
103 19170 0.0016
104 21679 0.0018
105 23903 0.0020
106 27656 0.0023
107 30420 0.0025
108 33892 0.0028
109 37142 0.0031
110 42207 0.0035
111 46222 0.0039
112 48989 0.0041
113 53280 0.0045
114 56320 0.0047
115 63455 0.0053
116 71740 0.0060
117 73636 0.0062
118 75868 0.0064
119 79647 0.0067
120 90371 0.0076
121 94043 0.0079
122 101889 0.0085
123 101834 0.0085
124 108878 0.0091
125 118151 0.0099
126 118207 0.0099
127 118714 0.0099
128 120919 0.0101
129 122232 0.0102
130 139495 0.0117
131 146831 0.0123
132 149351 0.0125
133 158155 0.0132
134 160249 0.0134
135 159685 0.0134
136 160934 0.0135
137 173475 0.0145
138 173971 0.0146
139 182784 0.0153
140 182530 0.0153
141 191420 0.0160
142 186430 0.0156
143 183313 0.0154
144 167817 0.0141
145 188773 0.0158
146 190330 0.0159
147 182979 0.0153
148 201333 0.0169
149 205116 0.0172
150 195294 0.0164
151 191303 0.0160
152 190621 0.0160
153 186309 0.0156
154 188971 0.0158
155 171997 0.0144
156 209061 0.0175
157 194350 0.0163
158 172089 0.0144
159 171534 0.0144
160 172414 0.0144
161 171965 0.0144
162 158346 0.0133
163 183566 0.0154
164 180827 0.0151
165 170770 0.0143
166 171701 0.0144
167 171083 0.0143
168 165887 0.0139
169 163623 0.0137
170 162320 0.0136
171 157111 0.0132
172 151133 0.0127
173 156173 0.0131
174 145218 0.0122
175 128135 0.0107
176 134928 0.0113
177 124395 0.0104
178 113298 0.0095
179 133199 0.0112
180 125661 0.0105
181 109631 0.0092
182 105628 0.0088
183 107489 0.0090
184 102149 0.0086
185 95013 0.0080
186 95320 0.0080
187 82659 0.0069
188 75704 0.0063
189 80636 0.0068
190 70139 0.0059
191 71763 0.0060
192 65257 0.0055
193 52882 0.0044
194 52094 0.0044
195 46625 0.0039
196 42918 0.0036
197 40120 0.0034
198 38366 0.0032
199 33789 0.0028
200 28040 0.0023
